,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
10,555,7,23,22580.7,9.341631685,9,0,2,19.26726194,174.95811799999998,2728.7678690000002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
11,33372,2,56,18342.12,6.68082638,17,1,1,10.52199781,149.96209299999998,1180.588788,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
12,556,0,83,83671.08,8.273875452,9,0,0,13.01149229,137.439154,1196.3880179999999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
13,0,5,29,115114.57,5.880565591,14,1,0,16.87922024,184.97151599999998,1948.694497,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
14,8165,1,30,64256.81,11.79073041,10,3,0,10.06019902,159.96558100000001,1582.295235,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
15,2093,3,39,89061.45,10.79846973,13,1,0,13.87001293,177.65076000000002,1840.0144670000002,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
16,50079,0,63,31659.3,13.52284721,13,1,0,15.78214958,194.966286,2070.376729,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
17,7249,2,60,44142.81,9.831166695,16,3,0,2.303331273,202.682861,882.0985933000001,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
18,9463,3,61,39262.14,9.57470568,11,1,0,17.10995632,152.490739,1833.0967,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
19,3177,3,23,19494.75,10.92246098,10,1,0,12.80615845,149.944668,1954.080809,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
20,69,4,38,39624.21,12.06889188,14,0,3,20.45390977,184.97845800000002,2330.319383,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
21,14440,3,30,45714.47,6.984819996000001,18,1,0,2.415991977,127.49576599999999,594.1054279,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
22,381,3,52,27442.03,9.372975594,16,1,1,6.652298992,124.964303,713.0633088,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
23,2193,2,68,79699.62,7.109002592,9,0,0,8.543717478,149.948316,945.3802927999999,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
24,9434,3,75,28520.32,13.74777955,15,1,0,5.770390256000001,162.511928,870.7639800000001,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0
25,29568,1,77,12558.83,9.767668044,12,1,0,4.157658837,92.455141,774.2937069,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,3089,1,47,8762.23,15.8626095,15,0,1,10.40566091,222.649979,1506.446527,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
27,5652,0,70,43882.72,14.73616645,12,0,0,1.3924215969999998,139.98157700000002,419.0508708,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
28,1716,3,20,10482.52,13.43558029,13,2,0,1.4303863490000002,200.132293,1259.415493,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
29,52484,4,69,33442.79,10.61771118,18,1,0,5.425864884,257.651257,1745.1259559999999,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
30,11268,9,45,43383.54,6.6130708060000005,14,0,0,11.08287797,230.105118,1795.465729,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
31,1765,0,40,21793.88,4.4501716469999995,13,2,0,3.5861849539999997,147.489301,492.4771472,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0
32,680,6,82,51960.51,8.774646693,9,0,0,4.727388465,230.105118,1013.993166,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0
33,136,5,74,25942.1,11.13156721,8,1,1,20.89923386,174.95811799999998,2680.762173,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
34,1517,4,69,11211.59,5.540788887000001,15,1,0,3.471329958,267.664655,1081.8143619999998,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
35,14103,1,52,8283.29,13.80362698,11,0,1,5.478588203999999,162.48326699999998,1209.961168,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
36,6394,2,26,10114.81,16.31017089,16,1,1,3.3129918089999997,229.993134,897.5919144,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
37,5059,1,25,36229.21,9.447065309,9,2,0,7.161561527000001,140.00128,1340.9301560000001,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0
38,20450,1,66,25397.44,16.84100845,12,1,0,9.847563363999999,184.964681,1113.993679,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
39,2123,1,72,50336.5,7.972937227,10,1,1,16.04202196,147.47384399999999,1530.10769,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
40,1164,3,21,38211.37,11.42906608,12,1,0,9.179779682000001,172.45785700000002,1310.137419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
41,23,3,55,52887.26,8.06137096,16,2,0,3.0028441439999995,107.48198899999998,892.8964931,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
42,895,4,41,12003.33,12.54780492,11,1,2,3.924254455,255.141716,1125.581944,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
43,6699,4,32,24090.62,8.255565152,13,0,0,18.55959629,192.45674499999998,2016.7100309999998,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0
44,35743,0,22,15137.93,13.156514000000001,6,0,0,8.798394712,242.632554,1412.736809,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
45,320,2,44,54458.38,10.58349704,5,1,0,10.377366,245.174977,1710.689671,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
46,7870,2,23,132116.33,12.50184778,11,1,0,22.25746016,184.964681,2384.885909,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0
47,861,3,43,37358.13,9.750038902,11,1,0,9.427146079,195.006206,1213.940165,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
48,15364,1,86,26534.16,7.8686608510000005,11,2,2,7.760290062,104.962874,740.010722,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
49,2589,2,84,76430.83,12.43563329,14,0,1,11.56938439,92.488023,897.9716152999999,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
50,4901,2,62,4662.37,8.957166926000001,13,3,0,3.343811019,184.97968400000002,1026.387172,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
51,39649,5,68,43820.85,8.015021713,12,1,0,7.338869531,187.656013,1234.244324,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
52,456,1,59,38391.55,4.210347704,8,0,0,5.486534225,149.96209299999998,727.3731845,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
53,94,0,31,44137.6,11.13960534,6,0,0,1.55278221,169.944668,452.87215039999995,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
54,315,0,51,14364.65,9.03738856,11,2,0,12.07970325,160.00128,1296.6745429999999,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
55,4969,1,58,62359.91,10.91594785,11,1,1,13.98666226,129.96209299999998,1840.628269,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
56,46869,1,73,82634.86,8.387624096,11,0,1,9.563362997,114.950905,1324.330108,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
57,58431,1,33,15690.25,11.4487514,11,0,1,6.7329489460000005,142.515576,958.1397059000001,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
58,26182,1,58,14568.7,10.22013704,15,2,0,15.72071086,220.14775,1868.8640269999999,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
59,694,0,49,29207.46,8.425458142,9,1,0,7.233605493,124.97808,676.712908,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
60,3093,1,26,55319.23,8.386280618999999,12,1,0,2.8710170369999997,164.964681,1086.990308,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
61,2765,1,25,81831.49,9.565924291,10,3,0,2.3448753819999997,194.976769,704.7540406,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
62,3757,0,42,100076.65,10.79349982,14,3,0,7.960490246,152.45551899999998,1416.444695,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
63,4938,1,81,69965.65,6.081975067,15,0,0,12.25062113,92.5018,1095.950634,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
64,3761,1,43,34883.69,13.55065547,13,0,0,9.634946079,127.48872800000001,1083.610268,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
65,1851,2,63,45634.2,9.470419821,14,1,0,7.916533093,184.963371,1570.641337,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
66,38476,3,70,10964.73,6.194985909,11,0,1,4.471254161,265.146969,1007.4255529999999,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
67,13547,1,78,22365.28,10.80393657,19,1,0,10.79028074,207.609354,1323.028419,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
68,7801,0,48,52636.6,7.903964267,17,0,1,12.24190682,152.462354,1808.730555,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0
69,17823,1,63,19048.13,11.27443693,18,2,1,2.2038594430000003,200.132293,1120.2414720000002,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
70,20269,4,60,42784.82,6.1295093089999995,12,0,0,23.92132231,212.65568599999997,2676.789803,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
71,30225,0,87,77996.88,7.969277912000001,17,0,0,3.7311787000000005,255.11979399999998,1268.0869089999999,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
72,5760,3,54,47507.3,4.368120492,9,0,0,7.980015371,134.950905,822.6771666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
73,61,3,35,7724.73,6.258356397999999,9,0,1,9.190009376,255.137219,1577.915603,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
74,34359,1,70,1509.52,12.92303286,16,0,0,2.378630018,214.966286,648.7471776000001,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
75,24693,2,67,81124.71,12.43301273,13,0,0,5.43464555,270.160419,1648.102673,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
76,4235,4,46,11795.57,7.607663559,11,0,0,1.092361222,200.165175,768.0874545,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
77,2193,1,50,74794.84,7.442789019,10,2,1,20.13981517,149.937833,2426.030626,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
78,273,1,24,19038.78,13.04429298,18,1,0,24.64873861,240.11486800000003,2660.503932,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
79,14557,0,20,79167.77,14.89762162,17,0,0,9.677739656,127.49576599999999,1129.549713,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0
80,17653,1,29,37428.26,13.79387475,13,2,1,9.82814183,187.609354,1771.286466,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
81,285,0,31,45148.38,15.66367593,6,1,0,7.832238337000001,169.992756,943.3391244,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
82,320,5,72,74855.47,8.513410306,13,3,0,19.45250317,192.45674499999998,1907.2260829999998,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
83,2863,4,71,45323.86,8.265002035,10,1,0,14.34766616,120.004928,1885.939118,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
84,1206,2,32,71596.14,8.6026551,11,0,0,2.257358355,195.006206,631.7435653,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
85,35279,0,33,10389.95,6.03993035,15,1,0,2.358129018,139.95684,562.6095219,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
86,1049,3,67,19657.14,14.6040829,12,3,0,4.650578623,114.983787,593.8572264,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
87,32203,0,66,27827.03,7.274007029,13,1,1,3.7217726160000004,207.638588,777.3060717999999,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
88,25576,4,21,15609.05,8.913898759,12,4,0,3.76663012,187.609354,1393.202392,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
89,319,0,61,19815.63,11.59313893,13,0,2,4.151256695,134.950905,393.6524652,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
90,55519,0,75,58482.9,8.294186076,13,0,0,2.188918771,192.470522,409.7486664,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
91,15210,0,63,41656.53,15.19664016,9,1,0,13.85488928,222.62805699999998,2138.107161,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1
92,3499,0,68,115510.46,5.0839959939999995,3,1,0,3.2733411510000003,162.468917,443.98403099999996,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
93,14479,2,32,15841.19,6.942719201,7,1,1,19.75096265,159.97935800000002,2481.385603,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
94,4654,0,76,81127.41,9.834012571,7,1,0,18.38404445,184.97968400000002,2233.567181,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1
95,26320,0,29,24270.88,11.0596826,13,0,0,4.672610857,245.145743,1158.91369,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
96,35,0,83,54466.33,8.834079073,17,0,1,6.796299371,124.97808,529.40733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
97,521,10,23,64816.84,5.271228601000001,14,1,1,12.97632235,187.484705,1956.7337,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
98,17600,5,80,103311.26,9.394961367,15,1,0,20.31163945,162.500692,2056.386979,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1
99,3324,0,20,40211.04,14.475436499999999,11,1,1,6.998814446,182.46760700000002,1067.373076,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
100,55122,0,69,58077.38,10.68311773,12,1,1,14.46288204,222.660939,1806.1357329999998,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
101,4038,1,32,43466.35,13.79409442,10,1,0,11.13472066,182.46760700000002,1397.701335,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
102,31927,0,53,23289.77,12.40165307,19,1,0,2.542296644,220.161527,808.4305471,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1
103,19904,2,25,49158.49,10.24782033,9,1,0,17.22596021,169.937833,1886.5319370000002,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
104,13000,0,69,3805.84,14.86100819,16,0,2,22.79214163,204.963371,2294.7811309999997,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
105,1444,3,71,52616.27,6.716953195,10,2,1,3.8236897439999997,204.963371,826.3438621,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0
106,2158,3,53,30550.42,8.124258176,18,1,0,10.77094687,245.128318,2072.564168,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
107,1800,2,56,12154.01,14.60903837,11,0,2,13.08671185,172.473314,1436.793746,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
108,30,0,42,30649.31,12.65015936,9,2,2,14.76468813,172.45674499999998,1963.3326829999999,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
109,3682,3,33,31417.33,12.0281501,14,0,0,9.473091121,194.976769,1324.164906,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
110,41733,1,47,55861.19,15.68043093,16,1,0,5.197446331,137.439154,704.9375603,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
111,630,1,48,9044.26,11.30421466,18,3,1,6.5775526829999995,192.470522,888.6517305,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0
112,15383,0,63,25381.66,10.26646787,10,1,0,3.1745719180000003,159.951231,377.0810282,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
113,257,1,40,65064.31,7.56618217,9,0,0,17.88002366,112.455141,1606.489936,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
114,1012,0,67,12527.51,10.40677369,14,2,0,13.12190056,174.96176599999998,1431.409396,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
115,20327,0,56,35499.06,7.146124361,13,3,0,23.34617699,162.452604,2253.85247,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
116,69,6,24,26282.4,9.807530479,10,1,0,6.311709177999999,137.48359399999998,1353.29384,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
117,1130,2,79,51237.28,10.61217014,12,3,0,12.58298231,275.133571,1701.457566,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
118,4210,3,61,64222.21,5.785085772,16,1,1,7.120096362999999,127.44206899999999,1290.737183,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
119,155,0,38,11014.98,9.062879297,11,2,0,9.344886869,210.138,1403.270091,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
120,37711,4,28,21172.49,16.54443477,13,1,0,22.37815032,147.45641899999998,2603.903672,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
121,1800,3,44,26130.78,4.539566699,8,2,0,4.799514433,242.65729100000001,1256.287854,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
122,8028,1,65,36478.21,7.251198724,14,2,0,10.04672315,114.983787,980.9935923,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
123,31859,3,35,54533.63,8.943293567000001,15,2,1,8.156552837000001,187.656013,1347.869205,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0
124,16101,2,31,37103.18,12.57884215,9,3,1,7.992791229,149.991327,1127.267848,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
125,20449,2,34,74679.84,11.64836306,11,0,1,7.231032028,124.960655,1269.836202,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
126,161,2,68,95028.57,6.076260652,13,0,0,4.6276720419999995,220.161527,1038.7453779999998,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
127,29210,0,62,34281.1,11.75681641,9,0,0,10.05306287,172.48852,1531.155367,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
128,821,0,52,36240.81,9.173739977,14,0,1,4.171044392,120.004928,991.2441024,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
129,5846,5,32,9515.64,8.353693631,11,4,0,4.5686826410000005,220.161527,1244.296865,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1
130,4476,0,47,125814.88,10.74539526,10,0,1,6.085030507000001,139.965008,1162.332926,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
