,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
5658,41204,2,66,43202.68,10.723889999999999,11,1,0,60.76709,5576.448425,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
6967,1829,2,36,30967.78,8.86894,12,0,0,56.19888,5021.784914,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
6152,5370,1,77,69959.26,8.583757,14,0,1,65.79896,6269.18922,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
6776,37234,2,73,8540.76,9.346761,9,2,0,60.17878,5250.358878,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0
8838,40770,0,30,15299.42,8.040747,8,3,1,51.67488,5050.700652,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0
5539,666,2,46,54079.21,7.362249,12,1,0,59.6877,5118.044271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
7466,1351,4,71,52458.7,11.327630000000001,13,2,1,64.15093,5549.125491,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
1382,16897,2,72,22070.09,16.15922157,13,2,0,4.891651665,644.4955302999999,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
5235,2093,5,37,47101.05,8.136004,11,1,1,71.52864,6210.519966,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
2179,257,10,44,38310.04,6.098505,13,0,1,4.632153,945.5166207999998,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
5501,5638,1,39,44565.15,8.432151,11,2,0,65.33592,5747.351224,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0
7247,7139,0,58,20991.61,8.098400999999999,11,1,0,45.19194,3921.4327909999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
8389,650,2,35,17300.45,6.2751779999999995,14,2,0,56.435719999999996,4726.723807,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1796,1126,3,38,31369.76,12.48448983,9,0,1,14.42671843,2363.6047519999997,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1
4914,14795,0,70,49373.8,7.980028,14,1,0,11.40635,1685.65475,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0
7106,5182,3,63,61481.0,11.45306,9,0,0,70.8569,6509.4957079999995,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
2362,3410,3,68,34688.33,7.732667999999999,13,0,0,1.5183,315.1395676,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1610,1061,0,29,18570.48,11.30937212,7,0,0,2.294386519,901.8793581,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
4634,34,1,77,32854.92,6.482151999999999,11,1,0,12.65954,1892.9641629999999,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
9571,1723,4,55,44717.94,8.318141,11,1,0,54.67286,5165.862705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
3114,1067,0,53,19734.93,9.326261,11,1,0,1.304537,820.0487803,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
3965,16943,3,29,14540.8,11.772680000000001,13,2,0,11.5365,2105.034412,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
3929,3199,8,25,73794.78,4.721154,9,1,0,7.778058000000001,965.4661617,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
4288,1541,3,56,14725.39,3.3635269999999995,15,2,2,22.054560000000002,2701.761153,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
9756,1063,1,65,42400.24,8.934308,14,0,0,50.49242,4357.294542000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
5638,1062,2,81,21145.92,12.022730000000001,13,1,2,71.93174,6599.564823,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
3976,1605,0,33,72504.63,7.547211999999999,13,0,0,9.104003,1305.935649,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0
4018,1107,3,29,53936.98,6.130264,13,0,2,19.70995,2592.211229,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
6688,4193,0,66,83878.86,11.05579,13,2,0,66.8244,5746.58453,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
8999,3185,1,69,50817.75,11.02449,10,1,1,64.61898000000001,5623.819353,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
9901,1359,9,72,77625.49,6.826295,10,1,0,67.25434,6680.274618,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
2596,14018,0,68,20306.89,9.811647,16,1,0,10.02603,1183.503581,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0
9802,37727,0,24,41699.57,7.956303999999999,14,1,0,49.94733,4741.134235,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4567,240,2,85,7543.45,15.41425,12,2,1,2.804449,538.267259,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0
416,23666,1,22,15380.9,8.535578792999999,12,1,2,6.4171326660000005,1155.7824679999999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3286,995,4,86,6992.92,10.66418,19,1,1,22.25056,2162.669491,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
7379,965,3,64,10093.41,14.15526,6,2,1,51.83423,4912.438643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
2473,54023,4,74,29602.2,12.79546,12,2,0,2.446064,1066.183659,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
6469,1407,10,64,60462.14,11.75314,11,1,0,36.264790000000005,3780.2536130000003,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
1482,1319,0,88,21816.78,8.974055518,11,0,0,20.13119126,2214.953933,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3975,9339,0,84,26943.66,5.200476,11,1,0,3.430472,924.9352116,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1
5034,1073,0,87,14405.88,7.65097,14,1,2,64.9788,6205.789589999999,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
8525,24286,1,37,112961.8,9.570437,17,0,1,62.59584,5694.262968,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1
7347,2282,4,64,15678.41,9.26731,11,0,3,63.88775,5930.862567,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0
27,5652,0,70,43882.72,14.73616645,12,0,0,1.3924215969999998,419.0508708,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
5794,585,0,89,35559.68,8.845809,17,1,0,67.65646,5824.23881,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0
363,20450,1,33,65187.42,9.826229752,13,2,0,12.29558653,1334.403775,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
4733,1428,0,28,951.96,5.896488,9,0,1,8.031947,971.3001605000001,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
177,509,6,51,63166.87,6.0941099020000005,11,2,0,3.701557118,937.5863866000001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
2932,1843,4,63,10192.04,8.601513,20,2,0,22.385820000000002,2149.727449,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
5412,3518,3,87,20562.72,10.91183,10,0,0,44.69494,3969.782146,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
5379,1002,5,89,16303.01,10.52149,9,1,0,63.38899,5972.05769,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
5578,1830,4,64,30931.95,8.038547,18,0,0,59.2505,5730.292957,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
431,1088,0,53,71215.87,6.702458265,13,0,1,5.02568958,811.5600648,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
4855,109,2,34,56733.5,11.8323,9,1,0,15.1631,1849.4181489999999,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0
6703,20695,5,52,81315.45,9.483812,7,0,0,64.67729,6473.586614,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
9000,1520,1,76,27917.73,10.5117,7,1,0,69.35043,5780.643396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1
8044,157,1,20,6733.76,11.865730000000001,11,2,1,65.9999,5604.566057999999,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
5401,1833,0,78,141362.6,9.366098,13,1,0,65.24070999999999,5347.776997999999,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
5877,9,0,70,35738.78,10.39931,14,1,0,60.921780000000005,5511.579607,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
752,1503,3,79,23507.1,7.607841769,15,0,0,14.08292576,1559.679776,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0
6235,4597,0,26,22788.17,6.094281,10,0,0,55.205459999999995,5267.957878,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0
4175,5546,4,32,44106.66,13.34936,15,0,0,13.70911,1868.762719,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
7529,22202,2,80,37333.83,9.365730000000001,16,3,1,50.654070000000004,5310.662479,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
8400,695,4,76,47254.65,8.342814,8,1,0,59.14986,5205.709911,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0
9870,702,1,47,33999.88,9.39927,10,0,1,54.02641,4620.499985,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
