,MonthlyCharge
4665,172.4624
1947,127.473844
7539,162.4713
7218,172.4404
7046,197.4725
1414,149.992756
8649,172.4579
3094,204.9496
7771,162.4713
9368,92.5018
5145,197.4945
9507,204.9634
3034,232.6378
8929,242.6106
9424,142.4827
5734,104.9781
8830,255.1372
2821,230.1051
9435,194.9663
9331,159.9794
1989,142.515576
3916,104.9923
4154,182.4676
8513,120.0035
5521,162.4827
4269,240.1149
9896,287.6427
3260,184.967
6059,112.4551
1087,255.11979399999998
3452,152.4798
5263,149.9845
5609,172.4579
4316,107.4958
9097,232.62400000000002
3402,152.4624
7458,92.5018
3466,262.6106
5309,137.4686
1065,157.469817
429,105.010962
3547,120.0049
624,144.98894099999998
8491,182.4653
3688,172.4624
8650,252.6378
7754,179.9476
3288,127.4601
9199,207.6094
2582,194.9744
8872,137.4392
6082,207.4754
7189,159.9349
930,184.97151599999998
617,182.490006
6272,162.4689
8075,159.983
6001,242.6106
8574,214.9525
9063,222.6362
5803,192.4885
1961,229.993134
9459,160.0013
8889,112.4551
2920,167.4564
4583,127.4586
6674,117.4872
3083,232.6228
2937,212.6415
5191,255.1372
2627,275.1336
1248,157.48359399999998
2606,252.6378
9392,235.1372
4392,192.4885
6620,124.9781
3673,149.9598
2752,242.6143
7071,102.4746
5065,159.9642
492,129.977753
2314,207.4811
7992,242.6281
2921,174.9581
1270,194.976769
2000,242.6573
680,92.455141
6222,200.1323
1208,172.462354
6573,102.4746
8300,245.1283
1491,162.460772
6103,164.9785
8594,252.6378
5986,275.1336
1727,149.96209299999998
837,129.994975
2233,137.4616
3058,164.967
5414,217.484
1998,217.472533
962,114.983787
3505,137.4686
9654,184.9496
8303,210.1563
497,142.452604
2493,127.4601
3950,187.4673
5883,204.9634
2860,262.6106
4191,162.4676
5073,134.9509
5489,192.4705
9289,197.6288
5667,129.9621
3980,144.9607
4485,240.1149
1808,204.97968400000002
8552,124.9607
13,184.97151599999998
8200,169.9741
4396,164.9715
6323,200.1323
7505,137.4872
1925,172.47417
3656,140.0049
4271,207.6094
2861,129.9598
8807,139.9512
9377,149.9776
4727,104.9629
2557,137.4698
115,162.452604
6361,192.4404
1393,162.468917
5554,132.466
1926,169.967067
3002,225.1786
9603,129.9621
7044,127.4601
532,137.439154
5810,182.447
2768,232.65200000000002
5979,197.4876
4367,242.6143
7362,232.65200000000002
1404,252.62402999999998
6294,207.6094
6959,242.6281
7437,255.1417
8613,159.9349
1867,149.977753
261,202.443347
8571,112.4551
6109,152.4441
524,139.99788999999998
5248,210.1051
2054,192.4404
7119,142.5007
8619,127.4601
5651,222.6362
634,242.632554
2139,127.4887
8992,204.9634
8496,184.96099999999998
24,162.511928
6642,217.484
1756,222.660939
585,184.967019
6849,182.4653
6209,107.4806
7163,262.6106
3165,174.99099999999999
3782,124.9607
4148,127.4421
767,159.98300600000002
3269,164.967
7649,159.9942
8676,204.9634
9932,255.1336
3806,149.9778
1246,182.45383
6906,232.62400000000002
4117,202.4433
2862,162.4538
7952,159.9942
732,204.949594
5653,140.0013
5045,207.6094
4737,92.48801999999999
3787,245.1457
8583,104.9923
6005,114.9728
6465,124.9643
740,124.97808
7361,117.4835
4685,230.1344
708,194.966286
3457,172.4624
3239,169.9447
8960,172.4624
2935,174.9755
8129,149.9621
975,152.479779
5025,159.9349
1663,194.95811799999998
3187,172.4885
4578,197.4876
1295,147.46006699999998
6943,187.6094
9370,137.4698
8405,162.5005
2549,147.4783
7982,119.9568
1236,159.93491799999998
7252,157.4836
7882,182.447
2556,147.4421
7610,149.9707
9844,220.1478
1976,149.97755
3863,220.1185
2809,119.9897
7836,210.127
8445,124.9935
1182,144.960655
2121,104.9643
6625,159.9476
4037,117.4686
502,129.977753
139,174.976769
6397,129.9483
5532,197.4876
8876,159.983
7196,144.9889
6820,204.9634
2695,240.1149
4021,127.4783
5694,149.9776
1880,204.963371
6405,157.4698
5964,194.9699
407,162.452604
2605,124.9781
6317,114.9728
6548,245.175
6599,240.1149
1446,160.00128
8185,137.4872
1882,172.470522
1410,152.495236
876,255.141716
9591,174.9699
7053,132.466
7615,152.4798
7809,220.1149
7497,149.9778
2385,172.4567
4798,129.9621
3820,162.4526
445,164.97845800000002
6250,212.6228
3166,129.9621
3605,137.4392
7125,194.9992
9280,147.4421
7713,159.9794
7918,179.9656
5346,142.4827
5331,139.983
3515,139.9349
5141,212.6228
1951,187.609354
2517,200.1323
869,179.947583
2404,152.4798
423,182.460772
1495,144.960655
8294,184.96099999999998
2917,127.4958
4126,142.5007
7031,112.4551
578,92.455141
2407,162.4818
7508,117.5152
9741,172.4579
9994,142.4827
7322,169.9378
5395,200.1323
7987,204.96099999999998
5290,147.4893
5553,162.447
598,134.950905
5706,150.0208
208,162.511928
2608,124.9607
3958,127.4887
9227,129.9763
3774,222.6281
648,184.97845800000002
1608,139.965008
3218,212.6228
2962,172.5104
919,159.964152
5093,184.9785
7629,192.4567
5359,172.4404
6285,207.6094
3212,132.5127
3235,220.1615
7447,94.97283
5052,172.4742
3209,137.4836
911,172.470522
4297,184.9853
2963,149.9776
481,255.155493
1253,117.46859099999999
8217,235.1372
9299,124.9643
3764,184.9634
5092,230.1344
1041,172.45551899999998
1542,160.00128
4053,172.4555
6819,79.97886
6778,82.49655
566,184.97845800000002
1713,169.944668
9203,159.9349
1190,187.481057
3328,235.1417
6705,174.9755
8089,152.5022
7516,212.6415
4499,172.5104
6076,117.5015
809,255.11979399999998
8859,139.9512
3683,120.0035
1839,139.95684
875,159.965008
5041,267.6647
300,214.952509
4708,104.9781
8334,164.9715
6275,159.9512
2632,217.4702
4641,152.466
9183,149.9741
3237,142.5156
1043,232.64145499999998
1447,182.490006
6398,127.4421
5222,252.62400000000002
8463,149.9447
5731,142.4713
4958,255.1336
1543,137.469817
7856,187.5139
2354,157.4698
7010,207.4811
2828,172.4555
7213,192.4705
5165,172.4441
5097,139.9512
2322,149.9483
2718,207.4811
6258,104.9643
9934,204.9496
5032,159.9875
8648,214.9663
1533,222.665436
1075,242.62805699999998
4447,222.65
7269,162.4982
3128,222.6143
169,187.656013
9573,142.4855
9996,207.4811
6306,129.995
5444,147.4421
891,267.664655
3284,172.4705
2311,160.0122
9520,147.4783
2892,184.9647
9783,179.9476
4020,172.4885
6145,204.9797
6214,127.4738
750,147.47384399999999
2368,222.65
1509,152.462354
8196,245.132
520,139.99788999999998
856,184.993915
9472,204.96099999999998
4529,129.9778
2157,235.1591
6530,182.4676
1363,117.487242
863,172.44043200000002
3755,169.9928
1168,162.452604
4176,169.9741
3433,192.4705
4348,164.9715
782,255.11979399999998
1076,147.50307800000002
723,104.964303
6770,197.484
8532,149.9447
6369,127.475
7315,255.1555
2501,152.5104
1626,197.470195
2890,174.9768
8356,240.1149
2258,129.9926
5255,147.4601
5712,159.9942
8088,179.9794
5705,197.484
5959,157.4698
3344,104.9643
8211,210.127
3116,129.9778
9926,214.9525
5478,152.4798
3693,149.9707
266,287.642733
9832,124.9781
6792,147.4713
2128,159.965
3008,169.9378
5563,222.6143
8521,184.9797
237,194.966286
590,137.48359399999998
8355,194.9882
7835,240.1149
658,200.132293
3057,159.965
5487,149.9621
8482,182.4433
7299,152.5022
2616,255.1417
3784,202.6829
1380,200.118516
838,139.97923899999998
3978,139.9568
1487,124.97808
616,184.963371
2178,207.6094
1865,137.439154
2213,187.5139
7650,127.48200000000001
4839,220.1323
4478,182.4538
3909,214.9663
1051,179.947583
6137,235.1372
5055,220.1149
2853,204.9496
3795,217.4702
7075,139.9875
2959,184.9963
6107,214.9663
506,139.93491799999998
4940,245.1457
3489,127.4601
1920,164.97151599999998
7525,194.9992
9431,119.9568
7648,139.983
7598,117.5152
2687,147.4783
7566,149.9378
2807,149.9928
5217,169.9378
6568,204.96099999999998
7964,152.4555
1943,204.96103300000001
8787,242.6106
6493,147.4421
4519,104.9629
596,240.11486800000003
8133,165.0182
393,187.513939
3759,127.4738
1853,187.642236
1166,175.133074
4272,222.6281
5028,197.4876
537,169.974105
119,210.138
9055,179.9476
5038,207.4974
7495,182.4433
4574,255.1198
519,117.485813
8773,139.9568
3126,220.1185
3159,219.9902
3215,159.965
6039,124.9643
7408,172.4624
9379,140.0049
4908,287.6427
6141,159.9656
1046,187.484705
4905,164.9785
5315,235.1591
5620,262.6106
3420,245.1457
8264,217.4725
383,149.977753
724,182.443347
7015,149.9778
545,139.987503
6726,117.47200000000001
3407,147.4713
2016,245.1457
2276,127.475
7728,179.9656
6263,207.4673
9209,162.4526
8077,147.4783
9574,174.9768
3483,129.9763
6256,202.4433
6217,92.45514
7795,182.4762
1745,204.963371
1411,139.965008
5841,114.9976
3757,114.9509
4636,207.4754
9239,202.4433
9225,192.4705
1879,212.64145499999998
2506,182.4676
5503,159.9942
8956,220.1615
7460,124.9781
1198,139.951231
9461,245.175
8335,242.6326
1057,232.622804
5942,114.9728
9525,149.9915
4720,217.484
1932,182.46760700000002
320,114.972827
4507,129.9483
7794,149.9845
2430,172.4567
3372,255.1417
7078,172.4579
5885,172.4567
5703,152.5022
6869,152.4742
8321,175.1331
1048,142.485486
1429,204.963371
8712,222.6143
2931,194.9744
3438,210.1051
6872,265.1283
3174,117.4392
8487,149.9483
1844,112.455141
2811,214.9525
3700,182.4433
7668,179.9476
5350,169.9671
9201,152.4579
5371,152.466
5900,174.9618
2399,157.4836
915,152.479779
1104,214.952509
8664,187.6094
9767,182.4608
7697,142.4827
7916,149.9378
7969,174.9699
9320,114.9509
6652,104.9781
4795,215.1591
5893,152.4798
5983,232.6415
6267,172.4579
448,127.44206899999999
7405,194.9581
1219,139.987503
5762,112.4551
5665,232.6228
3966,235.1591
9069,252.6378
5147,160.0013
3801,139.9512
1829,220.132293
1891,162.497044
1514,182.446995
5791,104.9923
741,220.11851600000003
3661,164.9715
5382,102.4746
3046,267.6427
9365,252.6378
9576,149.9778
4527,204.9634
5362,142.4689
1994,199.990219
9465,164.9715
8231,225.132
3240,194.9744
1903,95.005709
1107,149.97755
4828,152.509
4419,152.4884
780,139.98300600000002
2047,152.4742
2775,172.4567
8740,159.9349
6624,139.965
7702,169.9928
2478,217.484
6871,197.4702
4460,124.9607
5735,255.1336
5966,182.4433
7414,162.4982
5386,182.4608
201,194.999168
9191,149.9378
7297,257.6375
4363,267.6647
6311,187.6094
4807,220.1323
8957,159.9476
6519,154.9919
2834,184.9853
4906,220.1615
3175,204.9797
2463,140.0013
7907,129.9621
3441,162.4608
9511,127.4738
8820,242.6281
5702,247.6647
4651,159.9476
3346,235.1555
6804,182.4608
6930,162.4608
5858,192.4885
6905,162.4526
901,212.65568599999997
9330,240.1149
7180,157.4836
7821,194.9699
7530,147.4564
356,182.446995
277,235.159141
1821,107.528648
9763,172.4624
4504,172.4441
1693,140.00128
8370,220.1615
8461,240.1149
1532,200.132293
1747,175.02109
4584,172.4624
9968,200.1652
4360,230.1051
9739,200.1323
3621,137.4686
7220,137.4686
1272,115.00206100000001
8515,242.6573
6376,195.0062
7919,134.9509
4718,182.4608
4010,227.4754
8465,139.9979
944,210.105118
4948,137.5165
1889,235.137219
3970,207.6386
2525,179.9656
6410,222.65
4812,200.1323
4757,217.4702
5070,162.447
4001,200.1465
2655,245.14700000000002
542,240.11486800000003
7168,172.4885
2792,172.4555
1068,199.990219
122,114.983787
1957,277.63748
1881,169.992756
1496,149.97755
6611,179.9476
1175,94.972827
1426,149.937833
3378,137.4978
7861,179.9476
8205,184.967
3194,222.6792
9106,117.4686
6450,222.6326
8939,137.4392
9956,182.447
4016,169.9741
223,134.950905
1676,162.468917
559,217.47019500000002
8425,172.4705
7814,184.96099999999998
562,162.465269
8722,124.9781
800,232.62402999999998
3272,207.6094
7165,144.9607
7954,179.9476
3124,132.466
281,129.948316
2769,119.9568
4725,132.466
8451,149.9845
247,137.497825
4345,139.965
1127,114.972827
9748,182.4833
6847,139.9568
167,149.959755
8214,232.6707
3039,252.6378
3502,159.9794
8484,172.4555
5151,194.9882
6030,149.9621
4328,252.6378
4825,169.9378
1578,242.643514
160,162.48269399999998
6663,159.9476
1755,124.964303
6947,182.4608
9650,207.6386
6689,265.1283
7479,255.1336
8139,242.6106
4203,207.6094
695,152.44408
2174,172.4733
161,182.46760700000002
784,114.950905
3265,157.4698
8396,235.1372
3371,139.9792
1654,200.132293
4924,174.9744
4947,204.9634
772,104.99231100000002
8248,220.1615
4699,222.65
8519,197.6288
713,277.63748
1135,252.63780699999998
6741,152.5104
8354,162.4538
9501,204.9634
4870,104.9781
2359,147.5031
9772,162.5005
6480,164.9647
3484,204.9634
2071,124.9781
6935,139.9512
2303,225.1457
5114,230.1051
9415,179.9476
943,177.65076000000002
434,192.470522
44,242.632554
1286,129.948316
543,194.976769
3704,104.9781
6638,159.9656
5120,182.4653
2143,127.4958
4337,150.007
6686,255.1336
3754,119.9568
1103,124.97808
4555,187.65599999999998
7645,182.4538
8123,230.1051
1340,240.11486800000003
2553,232.6415
7090,159.9512
6734,172.4404
3805,129.995
6330,167.4564
3906,157.4836
5675,149.9483
4979,255.1417
7193,154.9755
8856,242.6106
1581,175.133074
3385,117.4392
4768,187.6094
728,139.93491799999998
6952,95.01949
8290,230.1344
4254,127.525
6863,149.9447
1868,190.12704
8718,172.4624
2431,139.9875
6598,139.9349
8656,187.4673
8320,245.1457
144,137.461553
4841,137.4616
4038,172.4705
938,192.44043200000002
4216,174.9919
9181,147.4713
7136,175.1331
5773,114.9728
258,114.99756399999998
9833,149.9915
4115,139.9678
2172,197.484
9514,104.9629
3512,137.4872
7905,242.6281
3325,172.4579
5257,270.1604
3446,149.9483
4707,167.4564
5039,212.6228
6911,124.9607
593,114.972827
3558,149.9741
5635,139.9512
9119,157.4698
9578,159.9656
6806,194.9768
6784,235.1372
5322,277.6375
1192,127.474951
4536,144.9607
2749,267.6647
7721,172.4848
6602,194.9768
9395,117.4686
5140,262.6106
6318,152.4441
7340,195.0062
9313,212.6228
7198,179.9476
5238,252.6378
8179,172.4705
818,172.44408
8608,147.4893
2741,127.4421
2033,159.965
9481,222.6609
2852,169.9671
6354,194.9882
6274,152.4441
9742,155.0084
7372,107.48200000000001
1450,147.478341
5868,152.4441
5180,117.4835
6215,147.4421
8150,242.6143
6885,124.9643
5271,152.4624
9474,129.9483
4894,147.4738
2662,132.4798
6540,240.1149
3664,182.497
2694,117.47200000000001
5568,105.01100000000001
2204,200.1185
8893,225.1457
6298,277.6513
3588,112.4551
2025,232.6378
6399,125.0073
1470,227.475448
4303,187.6094
6667,114.9658
2437,242.6573
6062,184.967
52,149.96209299999998
7553,179.9476
2082,200.1652
8651,235.1591
4106,245.132
3035,159.9349
3293,147.4738
9389,162.4538
6411,149.9928
1536,210.105118
28,200.132293
9478,119.9897
328,169.967067
1455,242.62805699999998
2908,220.1185
5048,172.5034
209,119.95683999999999
3013,255.1336
4602,79.97886
5288,169.9928
3930,197.4945
7049,169.9928
6090,169.9447
1717,232.62402999999998
2652,172.4885
661,127.458638
5777,169.9447
4669,197.6288
6545,139.9512
4760,149.9621
9110,207.4811
4538,159.9942
5237,219.9902
3763,162.4608
3041,210.127
802,262.610632
7482,222.6609
509,149.988989
3878,214.9663
3444,149.9621
9103,142.4713
788,159.97935800000002
3590,152.509
2801,127.4887
3060,212.6228
8839,164.967
9098,172.4871
6757,184.9715
4808,139.9875
6708,187.65599999999998
9429,217.484
4457,124.9643
1305,149.984492
4875,162.4526
240,187.609354
1112,159.96558100000001
5128,137.4872
6174,104.9643
1351,172.47417
3030,162.4526
2091,104.9781
2491,147.4738
1154,217.47019500000002
7173,114.9728
9400,134.9801
6994,159.9794
5814,164.967
3923,184.9785
9473,275.1198
9040,277.6375
2394,162.497
5603,119.9568
3857,94.97283
9151,129.9621
7755,149.9845
8198,169.9378
2561,139.9861
589,92.488023
6102,172.4705
2308,245.14700000000002
5316,187.6422
2433,164.9647
369,154.96176599999998
6251,149.9778
8014,162.4653
5931,127.4421
4401,134.9509
7374,179.9476
2643,240.1149
6316,174.9699
6351,187.4847
9456,222.6281
4309,134.9801
6500,127.4586
726,157.48359399999998
8529,149.9845
6657,134.9509
646,152.51044199999998
6031,154.9919
853,159.98046499999998
5424,227.4754
5233,150.0208
3045,187.65599999999998
7662,197.4876
7203,137.4686
6850,182.4676
2124,134.9509
3298,245.175
8987,139.9568
6774,152.509
2055,117.4858
1124,202.443347
6816,247.6647
2914,164.9647
6753,200.1185
7320,149.9845
8701,125.0073
9479,149.9483
5740,137.4872
4330,184.9785
4085,149.9447
7767,212.6415
5365,114.9509
2965,127.4601
4424,139.9349
6764,242.6106
5361,149.9776
4518,94.97283
6800,255.1336
2636,197.484
8576,172.4742
6771,192.4705
4997,149.9915
7249,197.4725
5005,162.4538
8639,237.6549
3472,152.4907
2012,172.4579
5244,210.1051
9001,242.6326
2218,182.4676
9872,175.1331
4895,142.4526
5881,149.9447
3679,127.4783
7552,112.4551
477,124.97808
1254,179.947583
5347,147.4564
2482,117.4392
2486,142.4713
8480,184.9496
864,194.98820800000001
2864,192.4885
5132,162.4526
3800,159.9875
2851,159.9794
9464,184.9715
1985,169.937833
6684,194.9882
7369,182.4608
6381,240.1149
9595,275.1336
5902,202.65
4928,222.6654
487,167.45641899999998
381,159.947583
5895,127.48200000000001
3017,114.9658
6673,242.6106
6511,147.4783
6712,182.49
8183,200.1465
3875,242.6143
150,174.974431
2280,219.9902
4498,117.4392
8053,194.9581
8723,172.4567
8667,172.4555
8074,107.4806
6375,142.4827
8028,220.1323
289,117.439154
7777,139.9349
5872,129.9778
1341,255.155493
510,107.49576599999999
9221,197.6288
688,192.470522
9434,192.4404
3574,187.6094
2726,255.1336
3275,192.4705
4874,232.6415
9066,169.9928
5036,177.4876
5912,267.6427
3993,147.4421
9609,187.65599999999998
9814,162.4818
3572,137.4698
3714,192.4567
2872,192.4567
7778,190.1737
7591,184.9939
6650,222.6281
3931,95.01949
9538,159.965
3074,192.4567
7840,204.9496
6561,132.466
1964,92.455141
6752,184.9853
4102,220.1615
1661,230.105118
1758,232.64145499999998
4465,149.989
5219,182.497
2176,202.65
1232,194.95250900000002
5488,184.9496
7724,169.9928
3918,162.4676
3125,245.14700000000002
7789,137.4872
5406,137.4836
9116,207.6094
1399,184.98529299999998
7559,129.9621
8779,172.4567
9623,172.4567
715,117.439154
8828,139.9568
9319,220.1185
1022,162.460772
4915,147.4421
2554,202.6829
4656,207.6094
6517,242.6326
8499,149.9778
6731,150.0208
5625,92.5018
5027,139.9792
9647,187.65599999999998
5533,137.4392
7186,242.6281
7830,144.9607
7037,149.9707
4314,147.4713
1194,169.992756
7935,255.1198
3183,142.4827
8693,182.4676
7829,149.9845
3986,197.6288
1770,127.473844
426,147.47384399999999
7796,287.6427
2436,182.4538
8816,139.9979
3178,194.9663
1360,207.475448
5937,160.0013
5407,252.62400000000002
9345,192.4567
4719,242.6281
1095,144.98894099999998
2221,144.9607
8126,187.6422
8421,182.4433
5349,139.983
914,222.62805699999998
7544,159.9642
2123,92.45514
374,142.48269399999998
2079,220.1323
5297,149.9378
1540,184.98529299999998
6292,152.4624
9967,210.1051
6586,149.9598
484,167.45641899999998
2785,227.4754
2960,117.4686
8246,182.4676
2335,194.9768
1866,114.972827
627,130.00641399999998
5647,147.4713
9644,162.4653
4217,165.0113
710,149.937833
4346,164.9785
3550,119.9897
8190,232.6707
9922,217.4725
8081,210.127
8548,174.9768
2402,129.9621
2870,149.9447
18,152.490739
1600,137.469817
1009,124.964303
8269,139.9568
1696,194.976769
9418,157.4698
1486,230.105118
3926,257.6549
1850,190.12704
4083,147.4564
8034,232.62400000000002
2738,232.6228
6134,95.01949
5089,192.4705
6403,82.49655
9829,204.9634
9369,139.9861
8988,194.9882
7481,187.4811
7617,192.4705
1039,222.649979
5448,232.65200000000002
3453,127.4586
6982,104.9781
9427,152.5022
5729,182.497
594,207.609354
6436,127.4738
3386,209.9931
5833,114.9509
7057,169.9928
5758,132.4798
4969,120.0035
7657,147.4783
5606,257.6375
1562,142.49926299999998
781,262.610632
5713,257.6841
6155,112.4551
1812,117.47203600000002
8655,92.45514
9351,275.1336
1681,232.65203799999998
6391,114.9728
9142,277.6375
7427,159.9642
217,220.132293
9125,267.6647
6521,137.4686
799,152.44408
6047,162.4689
7548,242.6143
3730,174.9744
3051,124.9643
3332,182.4433
2790,152.4441
8206,210.1518
5061,172.4705
6356,124.9781
1848,204.963371
718,204.949594
7158,162.4676
9349,165.0182
1630,167.484705
3937,207.6094
5491,252.6378
8638,144.9607
2227,242.6326
8691,159.9794
8049,159.9642
7892,160.0013
2658,142.4827
3728,112.4551
2294,159.9794
2957,124.9781
5576,102.4746
7210,179.9476
3160,240.1149
521,149.937833
5333,149.9621
550,204.97968400000002
2263,182.4676
7113,162.4827
1499,214.966286
2110,232.6378
1507,92.455141
9372,184.967
7913,162.5007
7490,174.9744
9341,147.5031
5040,149.9621
7575,187.65599999999998
1394,112.484375
1631,184.97151599999998
3617,104.9643
256,134.950905
6695,105.01100000000001
6941,159.9642
1488,182.443347
652,245.14696899999998
4437,194.9744
953,200.118516
9350,129.9598
9963,137.4978
1060,182.460772
7256,139.9568
9822,174.99099999999999
6212,172.4579
1820,169.974105
934,275.119794
4135,242.6435
9346,169.9447
9084,184.9963
7270,149.9741
2910,195.0062
6350,207.4811
847,142.48269399999998
756,147.442069
4415,149.9915
1526,149.944668
1313,159.965008
3689,182.497
5459,277.6513
3428,207.4974
3944,204.9634
5746,255.1198
650,220.11851600000003
6761,167.4564
8135,159.983
4185,240.1149
2560,172.4705
7672,222.6362
2601,82.49655
6154,104.9629
7804,265.147
3300,127.5112
1160,125.007314
9202,225.132
9912,114.9658
2976,147.4893
4580,149.9776
1924,159.965008
2708,182.49
7825,172.5104
93,159.97935800000002
6939,162.4676
3657,159.9794
9691,184.9785
7611,199.9902
3016,210.1518
9676,127.475
6614,179.9476
4274,219.9902
9337,159.9476
4230,114.9838
4140,162.4608
2970,139.9512
9145,92.45514
8306,134.9509
5102,235.1372
4919,144.9889
7069,194.9882
1316,139.99788999999998
3295,167.4564
4981,95.00571
9332,174.9919
960,275.133571
8966,114.9976
2558,199.9902
6280,240.1149
518,182.443347
1740,252.63780699999998
3561,235.1417
8755,267.6427
296,147.478341
1921,159.96558100000001
3400,149.9778
2349,182.447
1202,92.455141
8899,147.4421
8526,182.447
8050,255.1198
1769,162.468917
4571,117.4858
9759,169.9378
7857,222.6609
2022,162.4608
6700,187.6422
1279,187.656013
2930,152.5022
1613,212.622804
4487,182.4676
3882,230.1344
4384,187.4673
70,212.65568599999997
4965,270.1604
5363,222.6609
147,104.964303
2155,107.4806
194,202.443347
6594,182.4653
1588,172.462354
5778,172.4624
7606,194.9581
9639,187.6422
2200,124.9607
3355,147.4421
8147,79.97886
3828,117.4392
659,92.455141
3053,115.0021
6495,232.6228
7642,262.6106
2146,225.1457
7339,159.9656
3635,137.4392
9769,275.1198
6983,220.1185
5732,139.9349
4249,232.6415
9955,94.97283
4110,162.4676
3615,232.6415
7634,252.6378
6415,255.1198
8698,117.4872
408,172.45785700000002
4329,159.965
6443,179.9656
6773,204.9634
4878,107.4806
5355,174.9744
3829,127.4738
9054,242.6435
813,117.46859099999999
4009,149.9778
9413,102.4746
171,159.965008
2734,147.4421
7663,194.9581
3524,192.4705
3280,147.4713
9109,149.9776
4370,159.9476
6464,137.4392
7956,217.484
2759,157.4698
9965,204.96099999999998
7934,190.127
4431,107.48200000000001
5605,149.9598
5769,225.1786
1899,117.47203600000002
819,232.65203799999998
5356,92.45514
7153,92.45514
428,152.479779
8216,114.9976
2998,139.983
6735,137.4392
2832,172.4441
2837,190.1599
5904,127.4958
8674,210.1051
1806,179.96558100000001
8410,222.65
6860,149.9707
1327,169.937833
5869,172.4441
831,207.638588
8672,220.1323
6407,82.49655
2094,152.4624
5117,159.9794
7226,117.4858
5168,194.9525
7151,207.6094
4872,162.4689
9683,124.9781
5431,142.4689
1855,112.455141
6142,267.6647
9425,140.0049
6791,142.5156
6170,127.4601
3476,204.96099999999998
9828,159.9794
2133,149.9378
6056,149.9621
3948,127.4601
7436,174.9882
3809,174.9919
2639,124.9781
9304,194.9525
5721,167.4564
8384,194.9581
7241,202.6362
4743,124.9935
9442,175.0062
2815,174.99099999999999
9624,142.5007
2045,160.0013
4459,147.4564
5352,255.1555
8588,252.6378
297,127.48872800000001
5305,240.1149
2461,152.4579
2058,102.4746
4044,182.4676
8368,164.9785
7870,92.45514
1197,152.45785700000002
3914,230.1051
8097,172.4624
4586,114.9509
8696,127.4421
5351,152.466
7,114.950905
9615,222.6362
